date,product_code,customer_code,sold_quantity
01-12-2025,ARCHAFF0E4,70002018,930
01-12-2025,ARCH6B94F7,70002018,878
01-12-2025,ARCH5D1FE7,70002018,1089
01-12-2025,ARCH7B49A9,70002018,1385
01-12-2025,ARCH497D34,70002018,1063
01-12-2025,ARCHE71D79,70002018,704
01-12-2025,ARCHDD8749,70002018,1708
01-12-2025,BADMC045D4,70002018,1345
01-12-2025,BADM4BAB38,70002018,347
01-12-2025,BADMDC6AB1,70002018,319
01-12-2025,BADM50C510,70002018,2041
01-12-2025,BADM2459FB,70002018,628
01-12-2025,BADME151E6,70002018,533
01-12-2025,BADMDA5EC8,70002018,371
01-12-2025,BADM48A260,70002018,1242
01-12-2025,BADM8FFE12,70002018,2151
01-12-2025,BADM1B8332,70002018,1380
01-12-2025,BADM7E90FB,70002018,890
01-12-2025,BASK7F5383,70002018,1898
01-12-2025,BASKEE612D,70002018,2346
01-12-2025,BASK4C69DF,70002018,2131
01-12-2025,BASK9E4294,70002018,428
01-12-2025,BASKEE32E4,70002018,1228
01-12-2025,BASKE57A19,70002018,1275
01-12-2025,BASK728A58,70002018,814
01-12-2025,BASKED86BF,70002018,2065
01-12-2025,BASK32528E,70002018,1884
01-12-2025,BASK984F74,70002018,609
01-12-2025,BOX8606F7,70002018,1170
01-12-2025,BOXD26891,70002018,1066
01-12-2025,BOX17AD9F,70002018,1794
01-12-2025,BOXB9DCC6,70002018,1013
01-12-2025,BOX3DC0E4,70002018,1132
01-12-2025,BOX381514,70002018,300
01-12-2025,BOX386644,70002018,324
01-12-2025,BOX3A9CA9,70002018,2331
01-12-2025,BOXB0228B,70002018,1603
01-12-2025,CAMP7A5E65,70002018,1909
01-12-2025,CAMP69AF0F,70002018,990
01-12-2025,CAMP10C410,70002018,1932
01-12-2025,CAMPECAADE,70002018,2185
01-12-2025,CAMPF24336,70002018,1383
01-12-2025,CAMPE624C8,70002018,1046
01-12-2025,CAMP11E3FA,70002018,966
01-12-2025,CAMPCB6B05,70002018,1111
01-12-2025,CAMPDFA679,70002018,638
01-12-2025,CAMP4005E6,70002018,2054
01-12-2025,CAMPD5615D,70002018,779
01-12-2025,CRICA1EEE0,70002018,1524
01-12-2025,CRIC7723F0,70002018,1393
01-12-2025,CRIC97BE68,70002018,2228
01-12-2025,CRIC2716B4,70002018,1557
01-12-2025,CRIC05FECB,70002018,952
01-12-2025,CRIC681856,70002018,1278
01-12-2025,CRICBBFD56,70002018,811
01-12-2025,CRIC57FB52,70002018,1430
01-12-2025,CRIC294CD6,70002018,1826
01-12-2025,CRIC892BAA,70002018,1574
01-12-2025,CRIC2AE4DF,70002018,648
01-12-2025,CRICC0D928,70002018,1030
01-12-2025,CRIC341BC8,70002018,1811
01-12-2025,CRICB9EBFF,70002018,274
01-12-2025,CRIC5B2A0F,70002018,1593
01-12-2025,CRIC2D3CF5,70002018,1671
01-12-2025,CRICC6CF02,70002018,1245
01-12-2025,CRICA7893F,70002018,1585
01-12-2025,CRICA5001D,70002018,1734
01-12-2025,CRIC94FE34,70002018,322
01-12-2025,CRIC35B3C7,70002018,1983
01-12-2025,CRIC462BA5,70002018,1409
01-12-2025,CRICBDB8DA,70002018,1790
01-12-2025,CRIC1BA87E,70002018,317
01-12-2025,CRIC7633A6,70002018,1143
01-12-2025,CRIC8B52CE,70002018,1893
01-12-2025,CRIC538334,70002018,599
